Title,Label
নেত্রকোনায় স্ত্রীকে কুপিয়ে হত্যার পর স্বামীর আত্মহত্যা,relation
মা-ভাইয়ের সঙ্গে বিরোধে স্ত্রী ও দুই সন্তানকে নিয়ে আত্মহত্যা,relation
রাঙামাটিতে বিচারকের স্ত্রীর মরদেহ উদ্ধার,relation
"সংসার করা নিয়ে আদালতে স্বামী–স্ত্রীর ঝগড়া, শাড়িতে আগুন দিয়ে আত্মহত্যার চেষ্টা",relation
"নাতির বিয়ের দিনে দাদার ‘আত্মহত্যা’, আনন্দের বাড়িতে বিষাদের ছায়া",relation
"ক্যানসারের চিকিৎসায় অর্থের অপচয় চান না, তাই স্ত্রীকে হত্যার পর আত্মহত্যা করলেন ব্যবসায়ী",relation
শ্বশুরবাড়ির লোকজনের ভয়ে স্ত্রীর লাশবাহী অ্যাম্বুলেন্স নিয়ে থানায় তরুণ,relation
নেত্রকোনায় গাছে একই রশিতে ঝুলছিল স্বামী-স্ত্রীর লাশ,relation
"ঘরে যুবকের ঝুলন্ত লাশ, বিছানায় স্ত্রী-সন্তানের মরদেহ",relation
স্ত্রীকে ফোনে রেখে ‘বিদায়’ বলে ট্রেনের নিচে ঝাঁপ দিলেন যুবক,relation
স্ত্রীকে ছুরিকাঘাতে হত্যার পর বিষপানে স্বামীর ‘আত্মহত্যা’,relation
গাজীপুরে ছাদ থেকে পড়ে শ্রমিকের মৃত্যু: আত্মহত্যার প্ররোচনার মামলায় স্বামী গ্রেপ্তার,relation
"এক ঘরে পড়ে ছিল স্বামীর মরদেহ, আরেক ঘরে ঝুলছিল স্ত্রীর লাশ",relation
স্ত্রী আত্মহত্যা করেছেন বলে প্রতিবেশীদের খবর দিয়ে পালালেন স্বামী,relation
"ঘরের মেঝেতে পড়ে ছিল গৃহবধূর মরদেহ, অন্য ঘরে আড়ায় ঝুলছিল স্বামীর মরদেহ",relation
"মেঝেতে পড়ে ছিল অন্তঃসত্ত্বা স্ত্রীর রক্তাক্ত লাশ, ওড়নায় ঝুলছিলেন স্বামী",relation
"আমিষ খাবার না খেতে প্রেমিকের চাপ, মুম্বাইয়ে নারী পাইলটের ‘আত্মহত্যা’",relation
"ভৈরবে শোবার ঘরে পড়ে ছিল স্ত্রী-সন্তানদের লাশ, ফ্যানে ঝুলছিলেন গৃহকর্তা",relation
"স্বামীর মুঠোফোনে সাবেক প্রেমিকের খুদে বার্তা, আত্মহত্যা নববধূর",relation
"স্ত্রীর সঙ্গে ঝগড়া, দুই দিন ধরে বাড়িতে ঝুলছিল ইউপি চেয়ারম্যানের লাশ",relation
স্ত্রী ও দুই সন্তানকে ভিডিও কলে রেখে সৌদিপ্রবাসীর আত্মহত্যার ২২ দিন পর এল লাশ,relation
"স্বামীর দ্বিতীয় বিয়ে, মেয়েকে হত্যার পর অন্তঃসত্ত্বা মায়ের ‘আত্মহত্যা’",relation
